,multi_color,PROLIFIC_PID,90,180
0,Monochrome,1,1171.6524822695035,1774.4899280575544
1,Monochrome,3,2055.5920634920635,2075.709090909091
2,Monochrome,5,848.6198473282444,1049.2480620155045
3,Monochrome,8,1739.5275590551184,1937.9125000000008
4,Monochrome,9,1193.3166666666666,1226.725
5,Monochrome,13,1223.8200000000008,1466.775409836066
6,Monochrome,17,2358.4430107526878,2503.802531645569
7,Monochrome,21,1155.6717391304344,1690.0639705882359
8,Monochrome,22,955.8321167883212,1368.4338235294117
9,Monochrome,23,673.0961538461539,638.1124999999998
10,Monochrome,28,933.1496124031013,947.4455999999999
11,Monochrome,29,1582.2894736842122,2537.5007518796992
12,Monochrome,31,683.902521008403,770.9734513274338
13,Monochrome,34,2434.056692913388,3465.087692307693
14,Monochrome,36,1127.4352459016395,1046.5888000000002
15,Monochrome,37,697.8587719298242,742.8743119266053
16,Monochrome,38,847.2814516129031,752.430434782609
17,Monochrome,40,1501.1510791366898,1331.7328571428563
18,Monochrome,41,754.3153284671531,884.9134328358203
19,Monochrome,42,1875.4625000000003,3148.7438596491243
20,Monochrome,43,2689.032867132867,3435.0258992805793
21,Monochrome,48,1071.69430894309,1071.863157894737
22,Monochrome,49,236.3248175182482,237.61582733812955
23,Monochrome,50,1190.0326241134758,2542.2545454545457
24,Monochrome,52,235.3386861313867,231.0432624113476
25,Monochrome,53,1320.8400000000001,1263.8393442622953
26,Monochrome,54,680.8122448979594,668.2362500000004
27,Monochrome,55,1202.1291970802924,2383.348091603053
28,Monochrome,56,964.8031746031751,1103.5537190082648
29,Monochrome,57,1501.0310924369749,1652.4793650793656
30,Monochrome,60,960.7801418439716,947.6714285714286
31,Monochrome,61,1367.237593984962,790.159420289855
32,Monochrome,65,1231.6748091603058,1517.2604838709683
33,Monochrome,66,1270.4248120300747,1732.6496296296293
34,Monochrome,67,2043.6940170940172,2631.6144
35,Monochrome,68,365.9817307692305,373.75135135135116
36,Monochrome,69,1004.1884057971015,1715.5615384615387
37,Monochrome,72,1707.085826771654,1786.683898305084
38,Monochrome,73,2146.7159420289845,3185.987943262413
39,Monochrome,74,1038.21,852.825
40,Monochrome,75,934.9305970149253,940.1656250000003
41,Monochrome,79,1832.5558558558555,1952.7154545454555
42,Monochrome,80,888.9045454545455,986.0356589147283
43,Monochrome,83,951.5275590551181,1225.3719008264463
44,Monochrome,85,668.0081481481485,864.4144927536232
45,Monochrome,90,1200.332330827067,1363.733333333333
46,Monochrome,92,598.4676691729321,686.1908333333333
47,Monochrome,93,213.7213235294118,230.32357142857137
48,Monochrome,94,1232.4890625000003,1743.501709401709
49,Monochrome,99,678.963076923077,657.6325581395347
50,Monochrome,102,1018.0831683168316,1028.6650000000004
51,Monochrome,103,4166.895081967212,5232.251041666667
52,Monochrome,106,1297.6069565217388,1298.2481481481486
53,Monochrome,109,496.3190082644628,505.8484210526316
54,Monochrome,110,3109.1025862068964,4507.38396226415
55,Monochrome,113,1128.9131147540986,1190.3118811881193
56,Monochrome,114,3952.4267175572522,4411.0683333333345
57,Monochrome,116,1027.9849624060155,1556.3733333333332
58,Monochrome,122,282.7088235294118,283.5307692307692
59,Monochrome,124,2069.3542857142857,2794.2355072463774
60,Monochrome,125,1275.6917293233082,1502.4285714285713
61,Monochrome,126,1109.241666666667,1120.468867924529
62,Monochrome,127,1682.0103174603173,1779.924817518249
63,Monochrome,128,1643.4911504424774,1469.079365079365
64,Monochrome,129,518.0032786885247,482.1858208955223
65,Multichrome,0,1626.248529411765,1689.8536764705877
66,Multichrome,2,1502.0234848484852,1827.4115702479346
67,Multichrome,4,1747.7725,1907.6584745762714
68,Multichrome,6,2053.440157480315,2453.5282051282034
69,Multichrome,7,1421.1207407407408,2087.801503759398
70,Multichrome,10,839.0571428571432,824.5007633587782
71,Multichrome,11,1334.2537313432836,1795.8790322580646
72,Multichrome,12,1554.7974576271179,2005.6185840707967
73,Multichrome,14,1643.8389380530962,2708.4411214953298
74,Multichrome,15,2917.3416058394155,3819.3554744525554
75,Multichrome,16,1035.5757812499999,922.0365217391308
76,Multichrome,18,980.4676691729328,1691.2913385826773
77,Multichrome,19,948.4852941176471,941.223880597015
78,Multichrome,20,596.1081967213112,624.3107438016527
79,Multichrome,24,2789.713475177304,3849.698529411766
80,Multichrome,25,1683.0658119658124,2509.171428571429
81,Multichrome,26,938.7731182795699,1032.952380952381
82,Multichrome,27,1554.7471014492746,1682.272463768116
83,Multichrome,30,822.4674157303369,794.5867924528304
84,Multichrome,32,465.7830188679244,499.8174757281552
85,Multichrome,33,1091.7507812500003,1441.0165289256197
86,Multichrome,35,662.663970588236,701.5712230215828
87,Multichrome,39,2333.8953846153854,3619.40756302521
88,Multichrome,44,741.1155555555557,718.7129032258064
89,Multichrome,45,902.4741935483871,1157.0703703703703
90,Multichrome,46,3745.1580645161284,3988.51507936508
91,Multichrome,47,2178.6417910447763,2308.3969465648856
92,Multichrome,51,90.9742857142857,90.93714285714283
93,Multichrome,58,1063.0735294117653,1186.6278195488721
94,Multichrome,59,1890.2941176470588,2511.7720588235293
95,Multichrome,62,1038.9132231404956,1098.8426229508198
96,Multichrome,63,1257.9694029850748,2197.4854961832066
97,Multichrome,64,2011.3328467153278,2700.4720000000007
98,Multichrome,70,1324.3696078431367,1402.7380952380952
99,Multichrome,71,664.7411764705882,744.4705882352941
100,Multichrome,76,411.87307692307684,483.9736363636362
101,Multichrome,77,957.8609090909092,894.9148148148146
102,Multichrome,78,1077.3376068376067,1184.47731092437
103,Multichrome,81,723.8764150943394,712.1588785046733
104,Multichrome,84,1339.215322580645,1599.2066037735842
105,Multichrome,86,527.642727272727,640.9077586206897
106,Multichrome,87,2909.9758064516127,4795.370078740158
107,Multichrome,88,2520.3808823529425,2326.658333333332
108,Multichrome,89,1959.9540540540543,2876.176576576577
109,Multichrome,91,1271.9327433628318,1178.7549999999997
110,Multichrome,95,1611.7264957264956,2293.362068965517
111,Multichrome,96,1988.2058333333318,1760.9158878504672
112,Multichrome,97,1490.1345794392514,1942.190090090089
113,Multichrome,98,1316.6426356589152,1994.6495726495727
114,Multichrome,100,229.29496402877697,266.507299270073
115,Multichrome,101,1871.8063829787231,2473.6681159420295
116,Multichrome,104,1260.5448529411763,1671.5671875000005
117,Multichrome,105,1585.8848739495802,1614.1576271186436
118,Multichrome,107,2837.75,3083.4166666666665
119,Multichrome,108,1461.3236220472436,2037.2133928571425
120,Multichrome,111,2266.9399999999982,2319.622727272726
121,Multichrome,112,1641.8844660194175,1402.4247524752473
122,Multichrome,115,1879.4142857142854,2099.553125
123,Multichrome,117,608.2154545454542,924.91592920354
124,Multichrome,118,2156.077777777777,2398.146564885496
125,Multichrome,120,806.0929292929294,704.9919540229886
126,Multichrome,121,1083.05564516129,1318.2657894736847
127,Multichrome,123,2601.1818181818185,2797.671323529413
